Date,Open,High,Low,Close,Adj Close,Volume
2012-07-10,38192.308594,38769.230469,37230.769531,37307.691406,35808.687500,111890
2012-07-11,36615.382813,36769.230469,34692.308594,36153.847656,34701.203125,297560
2012-07-12,36076.921875,37153.847656,35846.152344,35961.539063,34516.621094,90655
2012-07-13,35807.691406,36615.382813,34000.000000,36615.382813,35144.195313,197197
2012-07-16,36153.847656,36576.921875,35807.691406,35923.078125,34479.707031,85262
2012-07-17,35769.230469,36653.847656,35038.460938,36153.847656,34701.203125,92773
2012-07-18,37153.847656,38307.691406,37153.847656,37538.460938,36030.179688,273078
2012-07-19,37346.152344,39076.921875,36730.769531,38923.078125,37359.167969,269235
2012-07-20,38846.152344,39615.382813,38384.617188,39384.617188,37802.160156,176593
2012-07-23,39000.000000,39769.230469,38000.000000,38346.152344,36805.421875,125113
2012-07-24,38538.460938,39615.382813,37923.078125,39307.691406,37728.324219,153405
2012-07-25,38846.152344,39615.382813,38230.769531,38692.308594,37137.667969,100525
2012-07-26,39000.000000,39230.769531,38384.617188,38461.539063,36916.175781,81554
2012-07-27,38923.078125,39153.847656,38307.691406,38461.539063,36916.175781,81379
2012-07-30,38692.308594,40384.617188,38000.000000,40384.617188,38761.988281,257659
2012-07-31,40384.617188,40538.460938,38038.460938,38230.769531,36694.671875,394289
2012-08-01,38384.617188,38769.230469,38192.308594,38538.460938,36990.003906,97899
2012-08-02,38538.460938,39230.769531,38153.847656,38307.691406,36768.507813,121644
2012-08-03,38153.847656,38538.460938,37423.078125,38307.691406,36768.507813,113400
2012-08-06,39000.000000,39923.078125,38615.382813,39692.308594,38097.488281,234316
2012-08-07,39769.230469,40769.230469,39692.308594,40384.617188,38761.988281,253309
2012-08-08,40692.308594,40846.152344,39923.078125,40076.921875,38466.652344,159338
2012-08-09,40461.539063,41076.921875,39538.460938,41076.921875,39426.468750,286160
2012-08-10,41538.460938,42153.847656,40461.539063,40538.460938,38909.648438,191359
2012-08-13,40846.152344,42923.078125,40230.769531,42307.691406,40607.789063,433866
2012-08-14,42769.230469,43076.921875,41923.078125,42384.617188,40681.617188,241716
2012-08-16,42615.382813,42923.078125,41846.152344,42000.000000,40312.457031,225369
2012-08-17,42307.691406,42384.617188,40692.308594,40846.152344,39204.972656,237783
2012-08-20,41384.617188,43000.000000,41076.921875,42230.769531,40533.957031,268399
2012-08-21,41923.078125,42461.539063,41307.691406,42153.847656,40460.125000,223744
2012-08-22,42692.308594,43461.539063,42538.460938,42692.308594,40976.953125,287954
2012-08-23,43230.769531,46769.230469,42846.152344,46461.539063,44594.738281,823471
2012-08-24,46384.617188,49384.617188,45692.308594,48076.921875,46145.210938,886832
2012-08-27,48769.230469,49923.078125,47692.308594,48076.921875,46145.210938,534252
2012-08-28,48153.847656,49153.847656,47076.921875,47846.152344,45923.710938,372191
2012-08-29,48153.847656,48692.308594,47000.000000,47076.921875,45185.394531,346979
2012-08-30,48076.921875,48615.382813,46538.460938,47846.152344,45923.710938,378732
2012-08-31,47692.308594,48615.382813,47307.691406,47538.460938,45628.390625,275066
2012-09-03,48615.382813,50846.152344,48615.382813,50615.382813,48581.683594,623379
2012-09-04,50769.230469,51307.691406,47461.539063,47846.152344,45923.710938,476611
2012-09-05,48769.230469,51307.691406,48692.308594,49230.769531,47252.699219,510847
2012-09-06,49692.308594,49923.078125,47153.847656,47846.152344,45923.710938,542697
2012-09-07,47692.308594,48461.539063,46692.308594,47923.078125,45997.546875,267706
2012-09-10,48692.308594,49538.460938,48076.921875,48076.921875,46145.210938,274972
2012-09-11,48307.691406,49230.769531,48076.921875,48769.230469,46809.707031,201009
2012-09-12,49153.847656,49153.847656,48153.847656,48384.617188,46440.542969,195965
2012-09-13,48692.308594,48846.152344,46923.078125,48076.921875,46145.210938,193196
2012-09-14,47307.691406,47692.308594,45923.078125,46384.617188,44520.906250,399224
2012-09-17,47923.078125,49000.000000,47538.460938,47923.078125,45997.546875,388215
2012-09-18,48076.921875,49153.847656,46923.078125,49076.921875,47105.031250,326442
2012-09-19,49076.921875,50538.460938,48615.382813,50000.000000,47991.023438,445987
2012-09-20,50692.308594,57076.921875,50538.460938,55384.617188,53159.285156,1215843
2012-09-21,57000.000000,62923.078125,56307.691406,60769.230469,58327.550781,2035578
2012-09-24,62692.308594,69846.156250,62307.691406,69846.156250,67039.773438,2584733
2012-09-25,70384.617188,74461.539063,61538.460938,65000.000000,62388.332031,3104250
2012-09-26,65769.234375,67307.695313,62000.000000,66615.382813,63938.808594,1701782
2012-09-27,71538.460938,76076.921875,70615.382813,74230.765625,71248.210938,2894308
2012-09-28,74307.695313,76538.460938,71384.617188,73307.695313,70362.218750,1685114
2012-10-02,78384.617188,83615.382813,76153.843750,82230.765625,78926.773438,2636034
2012-10-04,78923.078125,81076.921875,75384.617188,77307.695313,74201.515625,1984773
2012-10-05,78384.617188,80384.617188,73923.078125,74769.234375,71765.046875,2010598
2012-10-08,75307.695313,75615.382813,67615.382813,68076.921875,65341.625000,2371415
2012-10-09,67769.234375,71846.156250,66769.234375,71384.617188,68516.406250,1395850
2012-10-10,69615.382813,70769.234375,67000.000000,70615.382813,67778.085938,1074684
2012-10-11,65538.460938,66538.460938,60923.078125,61461.539063,58992.042969,1868609
2012-10-12,62307.691406,64692.308594,61000.000000,61000.000000,58549.050781,1058915
2012-10-15,62153.847656,63307.691406,55692.308594,55846.152344,53602.277344,1023392
2012-10-16,57307.691406,60538.460938,56769.230469,57692.308594,55374.257813,975174
2012-10-17,57692.308594,59769.230469,56230.769531,57230.769531,54931.265625,615119
2012-10-18,58384.617188,59538.460938,54384.617188,56307.691406,54045.269531,644175
2012-10-19,55923.078125,57384.617188,53076.921875,57384.617188,55078.933594,646033
2012-10-22,56692.308594,61384.617188,56615.382813,60692.308594,58253.718750,730042
2012-10-23,60923.078125,62538.460938,59615.382813,59615.382813,57220.066406,578009
2012-10-24,59307.691406,62076.921875,59153.847656,61076.921875,58622.882813,543196
2012-10-25,61538.460938,61846.152344,57846.152344,57846.152344,55521.921875,482320
